#角色表格,,,,,,,,,,,,,,,,,,,,,,
#ID,姓名,性别,基础等级,基础血量,基础能量,能量种类,基础力量,基础体力,基础速度,基础技巧,基础悟性,基础根骨,基础魅力,基础感知,初始职业,基础移动力,出场章节,人物特性1人物特性2,,人物特性3,人物特性4,人物特性5
ID,Name,Sex,Level,HP,EN,EN_Type,Str,Con,Dex,Agi,Int,Apt,Cha,Wis,Job,MovePoint,Chapter,Feature1,Feature2,Feature3,Feature4,Feature5
int,string,string,int,int,int,int,int,int,int,int,int,int,int,int,string,int,int,string,string,string,string,string
1,项天啸,男,1,24,100,1,18,18,18,18,18,32,28,24,王子,5,1,,,,,
2,,男,1,23,0,0,17,20,14,11,8,18,11,6,侍卫,5,1,,,,,
3,,女,1,23,50,1,12,9,16,14,14,12,18,16,侍卫,5,1,,,,,
4,,女,1,20,0,0,14,16,18,16,22,22,21,14,贵族,5,2,,,,,
5,西林,男,5,46,350,3,22,18,24,20,16,20,21,19,风之游侠,6,3,,,,,
6,,,1,37,38,39,40,41,42,43,44,45,46,47,,7,4,,,,,
7,,,1,38,39,40,41,42,43,44,45,46,47,48,,8,5,,,,,
8,,,1,39,40,41,42,43,44,45,46,47,48,49,,9,6,,,,,
9,,,1,40,41,42,43,44,45,46,47,48,49,50,,10,7,,,,,
10,,,1,41,42,43,44,45,46,47,48,49,50,51,,11,8,,,,,
11,,,2,42,43,44,45,46,47,48,49,50,51,52,,12,9,,,,,
12,,,3,43,44,45,46,47,48,49,50,51,52,53,,13,10,,,,,
13,,,4,44,45,46,47,48,49,50,51,52,53,54,,14,11,,,,,
14,,,5,45,46,47,48,49,50,51,52,53,54,55,,15,12,,,,,
15,,,6,46,47,48,49,50,51,52,53,54,55,56,,16,13,,,,,
16,,,7,47,48,49,50,51,52,53,54,55,56,57,,17,14,,,,,
17,,,8,48,49,50,51,52,53,54,55,56,57,58,,18,15,,,,,
18,,,9,49,50,51,52,53,54,55,56,57,58,59,,19,16,,,,,
19,,,10,50,51,52,53,54,55,56,57,58,59,60,,20,17,,,,,
20,,,11,51,52,53,54,55,56,57,58,59,60,61,,21,18,,,,,
21,,,12,52,53,54,55,56,57,58,59,60,61,62,,22,19,,,,,
22,,,13,53,54,55,56,57,58,59,60,61,62,63,,23,20,,,,,
23,,,14,54,55,56,57,58,59,60,61,62,63,64,,24,21,,,,,
24,,,15,55,56,57,58,59,60,61,62,63,64,65,,25,22,,,,,
25,,,16,56,57,58,59,60,61,62,63,64,65,66,,26,23,,,,,
26,,,17,57,58,59,60,61,62,63,64,65,66,67,,27,24,,,,,
27,,,18,58,59,60,61,62,63,64,65,66,67,68,,28,25,,,,,1
